task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
478,3512450332,hu-worker-c25,d1/e98be8,nf-d1e98be82e82dfac2082811881aa63c6,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE,TREATMENT_rhINFa2b_100000_REP1,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_rhINFa2b_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/stringtie:2.2.1--hecb563c_2,6,28800000,-,38654705664,1,1715238299153,1715239742000,1715239877000,1577847,134000,-,196.4,0.3,933462016,1069023232,1069101056,1371639808,3724670854,620409545,243031,181170,4083712,618762240,60801,1404,/input/data/work/d1/e98be82e82dfac2082811881aa63c6,true,-
840,1804131362,hu-worker-c34,f5/1c2133,nf-f51c21331e496e4c8e2924b32697edd8,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239649657,1715239652000,1715239881000,231343,228000,-,111.9,1.8,4713476096,5631918080,5469474816,6386589696,4091679509,966543402,245770,20267754,4198400,483287040,40073,511,/input/data/work/f5/1c21331e496e4c8e2924b32697edd8,true,-
838,2720225522,hu-worker-c34,b2/ec483b,nf-b2ec483ba4139ac4bcae1d4007dc0d1d,NFCORE_RNASEQ:RNASEQ:DUPRADAR,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239668746,1715239670000,1715239887000,218254,217000,-,106.4,0.2,444100608,4826112000,444100608,4936032256,11236623723,302782344,1409617,73736,0,302866432,5283,56,/input/data/work/b2/ec483ba4139ac4bcae1d4007dc0d1d,true,-
845,1645349347,hu-worker-c27,3d/2ff381,nf-3d2ff3813b3e4436c2c69ffb36324405,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239675097,1715239685000,1715239905000,229903,219000,-,112.6,1.7,4503183360,5551890432,5264642048,6303735808,3744190406,906691791,224670,19022939,606208,453357568,37178,1106,/input/data/work/3d/2ff3813b3e4436c2c69ffb36324405,true,-
844,2561443507,hu-worker-c28,28/6a1cef,nf-286a1cef2cd168ae269745157a2e4b5a,NFCORE_RNASEQ:RNASEQ:DUPRADAR,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:DUPRADAR (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239687414,1715239688000,1715239904000,216586,216000,-,106.4,0.2,440557568,4826202112,440741888,4936028160,10434097069,165964702,1291320,40332,4370432,166027264,5297,34,/input/data/work/28/6a1cef2cd168ae269745157a2e4b5a,true,-
863,2192651713,hu-worker-c27,33/f14b95,nf-33f14b952a6a064aca0b2558c278d9b4,NFCORE_RNASEQ:RNASEQ:DUPRADAR,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:DUPRADAR (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239729567,1715239730000,1715239904000,174433,174000,-,108.3,0.2,429953024,4834574336,430137344,4936028160,8946269821,155729306,1108226,37849,0,155795456,4239,45,/input/data/work/33/f14b952a6a064aca0b2558c278d9b4,true,-
891,282099125,hu-worker-c34,71/be3177,nf-71be317747633bb872efdc98cc3f4d65,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_rhIFNb_100_REP1,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_rhIFNb_100_REP1),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239883299,1715239884000,1715239888000,4701,4000,-,98.8,0.0,8097792,19369984,8097792,19439616,282162810,282099218,4465,68887,4198400,282107904,16,106,/input/data/work/71/be317747633bb872efdc98cc3f4d65,true,-
892,278971734,hu-worker-c27,4e/2cd21b,nf-4e2cd21b19d79d2aa07ed09366d07bbc,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_rhIFNb_100_REP3,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_rhIFNb_100_REP3),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239895764,1715239908000,1715239912000,16236,4000,-,93.2,0.0,8155136,19369984,8155136,19439616,279036083,278971840,4417,68124,5263360,278982656,55,78,/input/data/work/4e/2cd21b19d79d2aa07ed09366d07bbc,true,-
853,1735492768,hu-worker-c24,df/49437a,nf-df49437a657e6e6a478df38a00730adb,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239688012,1715239696000,1715239920000,231988,222000,-,111.6,1.4,3556499456,5441781760,5274030080,6193627136,3916058029,889853975,234897,18639432,606208,444936192,37645,2033,/input/data/work/df/49437a657e6e6a478df38a00730adb,true,-
866,1276557553,hu-worker-c41,3c/a4ab4e,nf-3ca4ab4ebc28953a65e2db01b1611e52,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,6,28800000,-,38654705664,1,1715239728621,1715239731000,1715239911000,182379,179000,-,112.6,1.5,3904069632,4565618688,4655669248,5317464064,2919733539,732946216,180928,15404698,577536,366485504,28568,2408,/input/data/work/3c/a4ab4ebc28953a65e2db01b1611e52,true,-
896,276808277,hu-worker-c27,5c/4d3c49,nf-5c4d3c49fdb92e1088500737dcc42c5d,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_mIFNa11_1000_REP3,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_mIFNa11_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239913044,1715239915000,1715239919000,5956,4000,-,99.5,0.0,7942144,19369984,7942144,19439616,276872614,276808371,4384,67596,4198400,276819968,18,88,/input/data/work/5c/4d3c49fdb92e1088500737dcc42c5d,true,-
449,3217775367,hu-worker-c35,b9/ae2076,nf-b9ae20763d5a0f669b25c23a9364ebda,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE,TREATMENT_rhIFNb_10000_REP2,NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_rhIFNb_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/stringtie:2.2.1--hecb563c_2,6,28800000,-,38654705664,1,1715238269190,1715239804000,1715239924000,1654810,119000,-,205.2,0.4,1044381696,1220022272,1044381696,1220026368,3428436092,617450965,233659,181565,0,615735296,57577,1097,/input/data/work/b9/ae20763d5a0f669b25c23a9364ebda,true,-
859,2500505324,hu-worker-c24,6f/52357c,nf-6f52357c217689f75d9ff77ef3affa83,NFCORE_RNASEQ:RNASEQ:DUPRADAR,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:DUPRADAR (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/bioconductor-dupradar:1.28.0--r42hdfd78af_0,1,72000000,-,6442450944,1,1715239727621,1715239728000,1715239929000,201379,201000,-,107.1,0.2,433922048,4826112000,434106368,4936032256,10183866938,161023438,1259955,39127,0,161083392,4905,25,/input/data/work/6f/52357c217689f75d9ff77ef3affa83,true,-
895,268446632,hu-worker-c41,8a/b38949,nf-8ab38949141397ed6403a86cbd7c1ec9,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP,TREATMENT_rhIFNb_10000_REP2,NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (TREATMENT_rhIFNb_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedclip:377--h0b8a92a_2,6,28800000,-,38654705664,1,1715239911584,1715239922000,1715239926000,14416,4000,-,99.8,0.0,8093696,19369984,8093696,19439616,268510461,268446729,4256,65554,0,268455936,6,89,/input/data/work/8a/b38949141397ed6403a86cbd7c1ec9,true,-
